Thickness_m,Fiber_Curvature,PressureDrop_Pa,Capture_Efficiency
0.031632653061224494,0.0,286.21826655077143,0.99
0.031632653061224494,0.25,327.09724657687565,0.99
0.031632653061224494,0.5,381.5989205599594,0.99
0.031632653061224494,0.75,457.8942901536815,0.99
0.031632653061224494,1.0,572.3220915715347,0.99
0.0326530612244898,0.0,295.4511138588609,0.99
0.0326530612244898,0.25,337.6487706600007,0.99
0.0326530612244898,0.5,393.90856315866785,0.99
0.0326530612244898,0.75,472.66507370702607,0.99
0.0326530612244898,1.0,590.7840945254552,0.99
0.0336734693877551,0.0,304.68396116695027,0.99
0.0336734693877551,0.25,348.20029474312577,0.99
0.0336734693877551,0.5,406.2182057573762,0.99
0.0336734693877551,0.75,487.4358572603706,0.99
0.0336734693877551,1.0,609.2460974793756,0.99
0.03469387755102041,0.0,313.91680847503966,0.99
0.03469387755102041,0.25,358.75181882625077,0.99
0.03469387755102041,0.5,418.5278483560846,0.99
0.03469387755102041,0.75,502.2066408137152,0.99
0.03469387755102041,1.0,627.7081004332961,0.99
0.03571428571428572,0.0,323.1496557831291,0.99
0.03571428571428572,0.25,369.30334290937583,0.99
0.03571428571428572,0.5,430.83749095479294,0.99
0.03571428571428572,0.75,516.9774243670598,0.99
0.03571428571428572,1.0,646.1701033872166,0.99
0.036734693877551024,0.0,332.38250309121844,0.99
0.036734693877551024,0.25,379.8548669925008,0.99
0.036734693877551024,0.5,443.14713355350125,0.99
0.036734693877551024,0.75,531.7482079204043,0.99
0.036734693877551024,1.0,664.6321063411369,0.99
0.03775510204081633,0.0,341.6153503993079,0.99
0.03775510204081633,0.25,390.40639107562583,0.99
0.03775510204081633,0.5,455.45677615220967,0.99
0.03775510204081633,0.75,546.5189914737489,0.99
0.03775510204081633,1.0,683.0941092950575,0.99
0.03877551020408164,0.0,350.84819770739733,0.99
0.03877551020408164,0.25,400.95791515875095,0.99
0.03877551020408164,0.5,467.76641875091815,0.99
0.03877551020408164,0.75,561.2897750270936,0.99
0.03877551020408164,1.0,701.5561122489781,0.99
0.039795918367346944,0.0,360.0810450154867,0.99
0.039795918367346944,0.25,411.5094392418759,0.99
0.039795918367346944,0.5,480.0760613496264,0.99
0.039795918367346944,0.75,576.060558580438,0.99
0.039795918367346944,1.0,720.0181152028985,0.99
0.04081632653061225,0.0,369.3138923235761,0.99
0.04081632653061225,0.25,422.0609633250009,0.99
0.04081632653061225,0.5,492.38570394833476,0.99
0.04081632653061225,0.75,590.8313421337825,0.99
0.04081632653061225,1.0,738.480118156819,0.99
0.04183673469387755,0.0,378.54673963166545,0.99
0.04183673469387755,0.25,432.6124874081259,0.99
0.04183673469387755,0.5,504.69534654704313,0.99
0.04183673469387755,0.75,605.6021256871271,0.99
0.04183673469387755,1.0,756.9421211107394,0.99
0.04285714285714286,0.0,387.77958693975484,0.99
0.04285714285714286,0.25,443.1640114912509,0.99
0.04285714285714286,0.5,517.0049891457514,0.99
0.04285714285714286,0.75,620.3729092404717,0.99
0.04285714285714286,1.0,775.4041240646599,0.99
0.04387755102040817,0.0,397.01243424784434,0.99
0.04387755102040817,0.25,453.715535574376,0.99
0.04387755102040817,0.5,529.3146317444599,0.99
0.04387755102040817,0.75,635.1436927938163,0.99
0.04387755102040817,1.0,793.8661270185804,0.99
0.04489795918367347,0.0,406.24528155593373,0.99
0.04489795918367347,0.25,464.267059657501,0.99
0.04489795918367347,0.5,541.6242743431683,0.99
0.04489795918367347,0.75,649.9144763471609,0.99
0.04489795918367347,1.0,812.328129972501,0.99
0.04591836734693878,0.0,415.4781288640231,0.99
0.04591836734693878,0.25,474.818583740626,0.99
