Thickness_m,Fiber_Orientation,Air_Velocity,Pressure_Drop_Pa,Capture_Efficiency
0.003474747474747475,0.5444444444444445,2.0,37.35104184475659,0.98
0.003474747474747475,0.5444444444444445,2.5,46.688802305945735,0.98
0.003474747474747475,0.5444444444444445,3.0,56.026562767134884,0.98
0.003474747474747475,0.5444444444444445,3.5,65.36432322832403,0.98
0.003474747474747475,0.6333333333333333,2.0,40.56299857654259,0.98
0.003474747474747475,0.6333333333333333,2.5,50.70374822067824,0.98
0.003474747474747475,0.6333333333333333,3.0,60.844497864813896,0.98
0.003474747474747475,0.6333333333333333,3.5,70.98524750894954,0.98
0.003474747474747475,0.7222222222222222,2.0,44.379345614203906,0.98
0.003474747474747475,0.7222222222222222,2.5,55.47418201775488,0.98
0.003474747474747475,0.7222222222222222,3.0,66.56901842130586,0.98
0.003474747474747475,0.7222222222222222,3.5,77.66385482485683,0.98
0.003474747474747475,0.8111111111111111,2.0,48.98839098501567,0.98
0.003474747474747475,0.8111111111111111,2.5,61.235488731269584,0.98
0.003474747474747475,0.8111111111111111,3.0,73.48258647752351,0.98
0.003474747474747475,0.8111111111111111,3.5,85.72968422377743,0.98
0.003474747474747475,0.9,2.0,54.66573602166824,0.98
0.003474747474747475,0.9,2.5,68.33217002708528,0.98
0.003474747474747475,0.9,3.0,81.99860403250236,0.98
0.003474747474747475,0.9,3.5,95.66503803791942,0.98
