Thickness_m,Fiber_Curvature,Air_Velocity_ms,Pressure_Drop_Pa,Efficiency_Percentage,Safety_Status,Pleated_Pressure_Pa,score_eff,score_thin,score_safety,Hero_Score
0.012,0.7000000000000001,2.5,62.585996399382736,98.00619987335072,FAIL,20.861998799794247,0.9159920286556538,0.7812499755859382,0.545625576283714,0.7476225268417687
0.012,0.8,2.5,70.06648637013183,98.0060253365311,FAIL,23.35549545671061,0.9038116365680576,0.7812499755859382,0.47382313027502454,0.7196282474763401
0.012,0.9,2.5,78.54014596112376,97.9996580086133,FAIL,26.180048653707917,0.45945524944975213,0.7812499755859382,0.39248761780761277,0.544397614281101
0.013,0.1,2.5,41.69595826623075,97.99700566481064,PASS,13.898652755410248,0.2743562684082664,0.7499999765625007,0.7461412966496765,0.5901658472068145
0.013,0.2,2.5,44.80781327777193,97.99366533530784,PASS,14.935937759257309,0.04124486456463953,0.7499999765625007,0.7162717557069352,0.5025055322780251
0.013,0.3,2.5,48.25935486289633,97.99363115371274,PASS,16.086451620965445,0.03885943533913959,0.7499999765625007,0.6831416894570336,0.49066703378622467
0.013,0.4,2.5,51.43483602385574,97.99684461532496,FAIL,17.144945341285247,0.2631171162035436,0.7499999765625007,0.6526614247279886,0.5552595058313443
0.013,0.5,2.5,55.298586211691045,98.0008900106375,FAIL,18.432862070563683,0.5454329115817692,0.7499999765625007,0.6155747211379926,0.6370025364274209
0.013,0.6,2.5,60.76602380261767,98.00409780746554,FAIL,20.255341267539222,0.7692952644426702,0.7499999765625007,0.5630948175536723,0.6941300195196144
0.013,0.7000000000000001,2.5,67.80868311509408,98.0060219133474,FAIL,22.602894371698028,0.903572743022658,0.7499999765625007,0.4954949454839228,0.7163558883563604
0.013,0.8,2.5,75.96615025669291,98.0054670513575,FAIL,25.322050085564303,0.8648506177665028,0.7499999765625007,0.41719444694804225,0.6773483470923486
0.013,0.9,2.5,85.18725127072608,97.99911213813851,FAIL,28.39575042357536,0.42136061459827695,0.7499999765625007,0.32868452175734153,0.500015037639373
0.014,0.1,2.5,45.01577968869687,97.9951071551004,PASS,15.005259896232289,0.14186506854484787,0.7187499775390632,0.7142755633384608,0.524963536474124
0.014,0.2,2.5,48.313785694559854,97.99307432416178,PASS,16.10459523151995,0.0,0.7187499775390632,0.6826192281119866,0.46712306855034996
0.014,0.3,2.5,51.97748349509608,97.9943145793548,FAIL,17.325827831698692,0.08655362560119416,0.7187499775390632,0.6474527531158556,0.48425211875203766
0.014,0.4,2.5,55.424212457616505,97.9981527639588,FAIL,18.47473748587217,0.35440881787977624,0.7187499775390632,0.6143688814435865,0.5625092256208086
0.014,0.5,2.5,59.6108722968914,98.00199545435429,FAIL,19.870290765630468,0.6225784555985001,0.7187499775390632,0.5741826879934558,0.6385037070436731
0.014,0.6,2.5,65.46185944900229,98.00449219990831,FAIL,21.820619816334098,0.7968187096365056,0.7187499775390632,0.5180212345686466,0.6778633072480718
0.014,0.7000000000000001,2.5,73.0066684958133,98.00571476760987,FAIL,24.3355561652711,0.8821379791772374,0.7187499775390632,0.4456014136280577,0.6821631234481194
0.014,0.8,2.5,81.8313915190381,98.00482094476834,FAIL,27.277130506346037,0.8197608103373617,0.7187499775390632,0.3608961736111011,0.6331356538291754
0.014,0.9,2.5,91.8032081263776,97.99852682557206,FAIL,30.6010693754592,0.380513436516122,0.7187499775390632,0.2651804081523116,0.45481460740249896
0.015,0.1,2.5,48.310461491699954,97.9938420410746,PASS,16.103487163899985,0.05357662085472542,0.6874999785156256,0.6826511359010891,0.4745759117571467
0.015,0.2,2.5,51.7853834583098,97.9931701250273,FAIL,17.261794486103266,0.006685650093139168,0.6874999785156256,0.6492966500495524,0.44782742621943905
0.015,0.3,2.5,55.6621732321363,97.995498172687,FAIL,18.554057744045434,0.16915299282355292,0.6874999785156256,0.6120847843147278,0.4895792518846354
0.015,0.4,2.5,59.38976330294405,97.9996668032216,FAIL,19.796587767648017,0.460068998328913,0.6874999785156256,0.5763050311370228,0.5746246693271871
0.015,0.5,2.5,63.909420062919416,98.00306253873492,FAIL,21.30314002097314,0.6970470185893414,0.6874999785156256,0.5329225238741406,0.6391565069930358
0.015,0.6,2.5,70.14534423376884,98.00473943827588,FAIL,23.38178141125628,0.8140727209244347,0.6874999785156256,0.47306620291888907,0.6582129674529832
0.015,0.7000000000000001,2.5,78.18319362084264,98.0052732310453,FAIL,26.06106454028088,0.8513244895705832,0.6874999785156256,0.39591387079918555,0.6449127796284648
0.015,0.8,2.5,87.66430516202635,98.00410562513872,FAIL,29.221435054008783,0.769840836000214,0.6874999785156256,0.3049082010903557,0.5874163385353984
0.015,0.9,2.5,98.38724640635618,97.99792742575956,FAIL,32.79574880211873,0.3386831525162055,0.6874999785156256,0.20198266910501667,0.40938860004561595
0.016,0.1,2.5,51.57873740232627,97.99328251313852,FAIL,17.19291246744209,0.014528873451690268,0.6562499794921881,0.6512801688211417,0.44068634058834005
0.016,0.2,2.5,55.22309332433201,97.99390361386828,FAIL,18.407697774777336,0.05787359825232058,0.6562499794921881,0.6162993493361232,0.4434743090268773
0.016,0.3,2.5,59.314868518849096,97.99706259123444,FAIL,19.771622839616366,0.2783289898285852,0.6562499794921881,0.5770239183639743,0.5038676292282492
0.016,0.4,2.5,63.33358189981792,98.00126013965576,FAIL,21.111193966605974,0.5712630864118815,0.6562499794921881,0.5384497806150113,0.588654282173027
0.016,0.5,2.5,68.1972367255346,98.004002426413,FAIL,22.732412241844866,0.7626389118162633,0.6562499794921881,0.49176536363243584,0.6368847516469623
0.016,0.6,2.5,74.82062628053743,98.00480196046789,FAIL,24.940208760179143,0.8184359539344308,0.6562499794921881,0.42818990630581033,0.6342919465774765
0.016,0.7000000000000001,2.5,83.34301076194146,98.00469948715272,FAIL,27.78100358731382,0.811284653939939,0.6562499794921881,0.34638670170502556,0.6046404450457176
0.016,0.8,2.5,93.46884266484496,98.00334258945692,FAIL,31.156280888281653,0.7165909039747186,0.6562499794921881,0.24919260060412035,0.5406778280236757
0.016,0.9,2.5,104.9409322730986,97.9973384809235,FAIL,34.980310757699534,0.29758248942186843,0.6562499794921881,0.1390762716036828,0.3643029135059131
0.017,0.1,2.5,54.82121361420064,97.99342701196711,FAIL,18.27373787140021,0.02461300579791975,0.6249999804687505,0.6201568434710704,0.42325660991258013
0.017,0.2,2.5,58.62927914062914,97.99517590015014,FAIL,19.54309304687638,0.1466625758087101,0.6249999804687505,0.5836046362723281,0.45175573084992954
0.017,0.3,2.5,62.93876790515388,97.9988658674596,FAIL,20.97958930171796,0.40417413534852303,0.6249999804687505,0.542239453570418,0.5238045231292305
0.017,0.4,2.5,67.25924010921163,98.0028053073142,FAIL,22.419746703070544,0.6790956226129765,0.6249999804687505,0.5007688449101627,0.6016214826639632
0.017,0.5,2.5,72.47844324307414,98.00473688691206,FAIL,24.159481081024712,0.813894669028222,0.6249999804687505,0.45067165171921747,0.62985543373873
0.017,0.6,2.5,79.49268957774424,98.00465441926652,FAIL,26.497563192581413,0.808139503674754,0.6249999804687505,0.38334450527477615,0.6054946631394269
0.017,0.7000000000000001,2.5,88.49171353387172,98.004003712027,FAIL,29.497237844623907,0.7627286308949226,0.6249999804687505,0.2969662153141732,0.5615649422259488
0.017,0.8,2.5,99.25014717380492,98.00255584610736,FAIL,33.08338239126831,0.6616864861537645,0.6249999804687505,0.1937000050004099,0.4934621572076416
0.017,0.9,2.5,111.46756722366734,97.99678315022548,FAIL,37.155855741222446,0.25882765445595285,0.6249999804687505,0.07642952580372696,0.3200857202428101
0.018,0.1,2.5,58.039982136069085,97.99421218184156,FAIL,19.346660712023027,0.07940761559149181,0.5937499814453131,0.5892610794356051,0.4208062254908033
0.018,0.2,2.5,62.007741479019145,97.99685161165824,FAIL,20.66924715967305,0.26360536895587766,0.5937499814453131,0.5511760305802939,0.46951046032716154
0.018,0.3,2.5,66.53835223887478,98.0007554455668,FAIL,22.179450746291593,0.5360420258876946,0.5937499814453131,0.5076883799393631,0.5458267957574569
0.018,0.4,2.5,71.17128811354358,98.00418280661324,FAIL,23.723762704514527,0.7752270956077731,0.5937499814453131,0.4632185485107521,0.6107318751879461
0.018,0.5,2.5,76.75773374587533,98.0052033315526,FAIL,25.58591124862511,0.8464464172553459,0.5937499814453131,0.4095963309201293,0.6165975765402628
0.018,0.6,2.5,84.16676479541523,98.0042855813139,FAIL,28.05558826513841,0.7823994283755705,0.5937499814453131,0.3384797925661556,0.5715430674623464
0.018,0.7000000000000001,2.5,93.63511208562444,98.00320412153344,FAIL,31.21170402854148,0.7069276500945122,0.5937499814453131,0.24759664216355057,0.5160914245677919
0.018,0.8,2.5,105.01392930392367,98.00177128964728,FAIL,35.00464310130789,0.6069346846775199,0.5937499814453131,0.13837560020580553,0.4463534221095462
0.018,0.9,2.5,117.97161026231484,97.99628260701704,FAIL,39.32387008743828,0.22389627121749098,0.5937499814453131,0.01399963137878803,0.2772152946805307
0.019,0.1,2.5,61.23823321671843,97.99552654058613,FAIL,20.41274440557281,0.17113270194674193,0.5624999824218755,0.5585622547010588,0.4307316463565587
0.019,0.2,2.5,65.36328351561826,97.99877278105832,FAIL,21.787761171872756,0.39767791943251674,0.5624999824218755,0.5189674283557166,0.4930484434033697
0.019,0.3,2.5,70.11892774142876,98.00257980566064,FAIL,23.372975913809587,0.6633585502713788,0.5624999824218755,0.47331976502142575,0.5663927659048934
0.019,0.4,2.5,75.07478176716394,98.00528890989447,FAIL,25.024927255721312,0.8524186686149279,0.5624999824218755,0.4257503621479181,0.6135563377282405
0.019,0.5,2.5,81.03987984349051,98.00535867866242,FAIL,27.013293281163502,0.8572876180482303,0.5624999824218755,0.3684936003265951,0.5960937335989003
0.019,0.6,2.5,88.84780275925841,98.00369928670928,FAIL,29.615934253086138,0.7414837168467197,0.5624999824218755,0.29354824704203025,0.5325106487702085
0.019,0.7000000000000001,2.5,98.77868106746952,98.0023264589084,FAIL,32.92622702248984,0.6456782534546853,0.5624999824218755,0.19822543311774551,0.46880122299810206
0.019,0.8,2.5,110.76591118094876,98.0010158578604,FAIL,36.92197039364959,0.5542154052767836,0.5624999824218755,0.08316446165966343,0.3999599497861075
0.02,0.1,2.5,64.41988255629477,97.99722505873632,FAIL,21.473294185431588,0.2896671010569781,0.531249983398438,0.5280227839154793,0.44964662279029843
0.02,0.2,2.5,68.70130037031777,98.0007725784248,FAIL,22.90043345677259,0.5372376757713636,0.531249983398438,0.48692704384576246,0.5184715676718546
0.02,0.3,2.5,73.68620209587715,98.00419907890956,FAIL,24.562067365292382,0.7763626895172892,0.531249983398438,0.4390788228859451,0.5822304986005574
0.02,0.4,2.5,78.97485657794357,98.006042051384,FAIL,26.324952192647856,0.9049781151511801,0.531249983398438,0.3883149919882263,0.6081810301792815
0.02,0.5,2.5,85.32930025586595,98.00518186857332,FAIL,28.44310008528865,0.8449485814204036,0.531249983398438,0.3273210462863527,0.5678398703683981
0.02,0.6,2.5,93.54003259346766,98.00291443048488,FAIL,31.18001086448922,0.6867109957329859,0.531249983398438,0.24850927490937555,0.4888234180135998
0.02,0.7000000000000001,2.5,103.92710344133128,98.00140295366356,FAIL,34.64236781377709,0.58122964025613,0.531249983398438,0.14880763816385167,0.42042908727280653
0.02,0.8,2.5,116.5113616072331,98.00031651665586,FAIL,38.83712053574437,0.5054105164720929,0.531249983398438,0.028016016084303274,0.3548921719849447
0.021,0.1,2.5,67.58922707133412,97.99914384704124,FAIL,22.529742357111374,0.4235734821678761,0.4999999843750004,0.4976014225723183,0.47372496303839834
0.021,0.2,2.5,72.02740672284513,98.00268818427944,FAIL,24.00913557428171,0.6709219633872643,0.4999999843750004,0.4550009838242436,0.541974310528836
0.021,0.3,2.5,77.2459088438629,98.00549413862014,FAIL,25.748636281287634,0.866740955176141,0.4999999843750004,0.4049105193953356,0.5905504863154923
0.021,0.4,2.5,82.87636399498211,98.00638750997976,FAIL,27.625454664994038,0.9290866164711243,0.4999999843750004,0.3508658707729272,0.593317490539684
0.021,0.5,2.5,89.62971202068957,98.00467492755516,FAIL,29.87657067356319,0.8095707145633354,0.4999999843750004,0.28604299033463,0.5318712297576552
0.021,0.6,2.5,98.2466214644198,98.00196398373922,FAIL,32.74887382147327,0.6203822173972348,0.4999999843750004,0.20333247571398824,0.4412382258287411
0.021,0.7000000000000001,2.5,109.0839274632634,98.00047081441396,FAIL,36.36130915442113,0.5161784862100048,0.4999999843750004,0.09930919890934191,0.3718292231647824
0.022,0.1,2.5,70.75064049460545,98.00111419841043,FAIL,23.58354683153515,0.5610782922031013,0.4687499853515629,0.4672561888345269,0.4990281554630638
0.022,0.2,2.5,75.34711454477613,98.00437218268068,FAIL,25.115704848258712,0.7884430735219462,0.4687499853515629,0.42313634092238894,0.5601097999319661
0.022,0.3,2.5,80.80349193943445,98.00637375795893,FAIL,26.934497313144817,0.928126904897871,0.4687499853515629,0.37076260005581907,0.5892131634350843
